Authors,Author full names,Title,Year,Source title,Abstract,Author Keywords,Index Keywords
Hong Z.; Tang Z.; Pan H.; Zhang Y.; Zheng Z.; Zhou R.; Zhang Y.; Han Y.; Wang J.; Yang S.,"Hong, Zhonghua (57918901800); Tang, Zhizhou (57552851500); Pan, Haiyan (56316258600); Zhang, Yuewei (57552164200); Zheng, Zongsheng (36563105300); Zhou, Ruyan (35333470900); Zhang, Yun (56839544700); Han, Yanling (55362835500); Wang, Jing (55878868400); Yang, Shuhu (39062590400)",Near Real-time Monitoring Of Fire Spots Using A Novel Sbt-firenet Based On Himawari-8 Satellite Images,2024,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"Detailed and timely monitoring of the location and intensity of the fire is critical to reducing the destructive impacts of a fire. Satellite imagery platforms, in particular geostationary satellites with high temporal resolution, allow for real-time fire monitoring. However, because of the coarse resolution of geostationary satellite images, even when deep learning models are applied, precision still remains limited. Thus, the prediction models easily fall into a local optimal solution because of the insufficient semantic information from low spatial resolution. Therefore, in this study, we proposed a novel deep learning model, SBT-FireNet, to monitor fire spots from Himawari-8 satellite images. Specifically, the extraction modules of spatial, band, and time-series features were designed and integrated into the model. The spatial feature extraction module served to collate information about fires and their surrounding environment, while the band and time-series features were designed to obtain fire-sensitive band and time information, respectively. The newly structured SBT-FireNet model was tested in four fire-prone areas with high forest cover. The precision of SBT-FireNet in four test areas is 35.2% higher than other methods. The model yielded significant improvements through the combination of the modules of spatial, band, and time-series features and their fire-tailored design. The advantages of the high temporal resolution of geostationary satellite images were fully integrated into the model to ensure that the model monitors the possibility of fire in an automated way in a near-real-time manner.  © 2008-2012 IEEE.",Convolutional neural network (CNN); deep learning; LSTM; near-real-time monitoring; transformer; wildfire,Extraction; Forestry; Geostationary satellites; Long short-term memory; Satellite imagery; Semantics; Time series; Convolutional neural network; Deep learning; High temporal resolution; LSTM; Near-real-time monitoring; Satellite images; Time series features; Transformer; Wildfire; artificial neural network; image analysis; image classification; machine learning; satellite imagery; spatiotemporal analysis; wildfire; Fires
Yazdi A.; Qin H.; Jordan C.B.; Yang L.; Yan F.,"Yazdi, Amirhessam (55969504100); Qin, Heyang (57212193748); Jordan, Connor B. (57885481600); Yang, Lei (57155160200); Yan, Feng (50862222500)",Nemo: An Open-source Transformer-supercharged Benchmark For Fine-grained Wildfire Smoke Detection,2022,Remote Sensing,"Deep-learning (DL)-based object detection algorithms can greatly benefit the community at large in fighting fires, advancing climate intelligence, and reducing health complications caused by hazardous smoke particles. Existing DL-based techniques, which are mostly based on convolutional networks, have proven to be effective in wildfire detection. However, there is still room for improvement. First, existing methods tend to have some commercial aspects, with limited publicly available data and models. In addition, studies aiming at the detection of wildfires at the incipient stage are rare. Smoke columns at this stage tend to be small, shallow, and often far from view, with low visibility. This makes finding and labeling enough data to train an efficient deep learning model very challenging. Finally, the inherent locality of convolution operators limits their ability to model long-range correlations between objects in an image. Recently, encoder–decoder transformers have emerged as interesting solutions beyond natural language processing to help capture global dependencies via self- and inter-attention mechanisms. We propose Nemo: a set of evolving, free, and open-source datasets, processed in standard COCO format, and wildfire smoke and fine-grained smoke density detectors, for use by the research community. We adapt Facebook’s DEtection TRansformer (DETR) to wildfire detection, which results in a much simpler technique, where the detection does not rely on convolution filters and anchors. Nemo is the first open-source benchmark for wildfire smoke density detection and Transformer-based wildfire smoke detection tailored to the early incipient stage. Two popular object detection algorithms (Faster R-CNN and RetinaNet) are used as alternatives and baselines for extensive evaluation. Our results confirm the superior performance of the transformer-based method in wildfire smoke detection across different object sizes. Moreover, we tested our model with 95 video sequences of wildfire starts from the public HPWREN database. Our model detected 97.9% of the fires in the incipient stage and 80% within 5 min from the start. On average, our model detected wildfire smoke within 3.6 min from the start, outperforming the baselines. © 2022 by the authors.",attention mechanism; benchmark; computer vision; deep learning; direct set prediction; encoder–decoder Transformer; incipient stage; smoke; smoke density detection; wildfire,Computer vision; Convolution; Convolutional neural networks; Decoding; Deep learning; Fires; Learning algorithms; Learning systems; Natural language processing systems; Object detection; Object recognition; Signal detection; Signal encoding; Attention mechanisms; Benchmark; Deep learning; Density detections; Direct set prediction; Encoder-decoder; Encoder–decoder transformer; Incipient stage; Smoke density; Smoke density detection; Wildfire; Smoke
Tahri M.; Badr S.; Mohammadi Z.; Kašpar J.; Berčák R.; Holuša J.; Surový P.; Marušák R.; Yousfi N.,"Tahri, Meryem (56747809000); Badr, Sanaa (59355462800); Mohammadi, Zohreh (56434053300); Kašpar, Jan (55910999100); Berčák, Roman (57200648283); Holuša, Jaroslav (55884451300); Surový, Peter (56376178700); Marušák, Róbert (26027957000); Yousfi, Noura (26536859500)",New Forest Fire Assessment Model Based On Artificial Neural Network And Analytic Hierarchy Process Or Fuzzy-analytic Hierarchy Process Methodology For Fire Vulnerability Map,2024,Engineering Applications of Artificial Intelligence,"Forest fires significantly disrupt global ecosystems. Many forecasting techniques predict fire activity and allocate prevention resources, but various factors are missing from the assessments, and multi-criteria decision approaches alone are insufficient. This work introduced a novel methodology combining artificial neural networks (ANN) with the analytical hierarchy process (AHP), fuzzy AHP multi-criteria methods, and spatial data to detect potential forest fire vulnerability areas using twenty variables. The results from AHP or fuzzy AHP, were processed using a multilayer perceptron with a backpropagation algorithm. The final ANN model has two objectives: first, to create a forest fire vulnerability with four classes (low, moderate, high, and very high), and second, to classify burned area sizes in regions highly or very highly vulnerable to fire. Evaluation metrics were also applied for validation. The fire model was tested using both literature review data and in situ observations. Comparative analysis showed that the burned area size model performed better than other machine learning methods, achieving an accuracy score of 89%. Meanwhile, the fire vulnerability model scored 82%. The study addresses the problem of prediction and provides an algorithm for classifying fire risk based on historical data in the Czech Republic, offering a master model for future forest management. Therefore, the ANN model, once trained, validated, and tested, does not require resetting and is effective for estimating forest fire vulnerability. Moreover, it produces results quickly, providing rapid insights into complex forest ecosystems, saving time and enhancing understanding for decision-makers. © 2024 Elsevier Ltd",Analytical hierarchy process/fuzzy decision analysis; Artificial neural network process; Burned area size; Forest fire vulnerability model; Geographical information system; Multilayer perceptron classification,Multilayer neural networks; Analytical Hierarchy Process; Analytical hierarchy process/fuzzy decision analyze; Artificial neural network process; Burned area size; Burned areas; Forest fire vulnerability model; Forest fires; Fuzzy decision analysis; Geographical information; Geographical information system; Multilayer perceptron classification; Multilayers perceptrons; Network process; Neural-networks; Vulnerability models; Premixed flames
Nguyen Van L.; Lee G.,"Nguyen Van, Linh (58045719400); Lee, Giha (35069799400)",Optimizing Stacked Ensemble Machine Learning Models For Accurate Wildfire Severity Mapping,2025,Remote Sensing,"Wildfires are increasingly frequent and severe, posing substantial risks to ecosystems, communities, and infrastructure. Accurately mapping wildfire severity (WSM) using remote sensing and machine learning (ML) is critical for evaluating damages, informing recovery efforts, and guiding long-term mitigation strategies. Stacking ensemble ML (SEML) enhances predictive accuracy and robustness by combining multiple diverse models into a single meta-learned predictor. This approach leverages the complementary strengths of individual base learners while reducing variance, ultimately improving model reliability. This study aims to optimize a SEML framework to (1) identify the most effective ML models for use as base learners and meta-learners, and (2) determine the optimal number of base models needed for robust and accurate wildfire severity predictions. The study utilizes six ML models—Random Forests (RF), Support Vector Machines (SVM), k-Nearest Neighbors (KNN), Linear Regression (LR), Adaptive Boosting (AB), and Multilayer Perceptron (MLP)—to construct an SEML. To quantify wildfire impacts, we extracted 118 spectral indices from post-fire Landsat-8 data and incorporated four additional predictors (land cover, elevation, slope, and aspect). A dataset of 911 CBI observations from 18 wildfire events was used for training, and models were validated through cross-validation and bootstrapping to ensure robustness. To address multicollinearity and reduce computational complexity, we applied Linear Discriminant Analysis (LDA) and condensed the dataset into three primary components. Our results indicated that simpler models, notably LR and KNN, performed well as meta-learners, with LR achieving the highest predictive accuracy. Moreover, using only two base learners (RF and SVM) was sufficient to realize optimal SEML performance, with an overall accuracy and precision of 0.661, recall of 0.662, and F1-score of 0.656. These findings demonstrate that SEML can enhance wildfire severity mapping by improving prediction accuracy and supporting more informed resource allocation and management decisions. Future research should explore additional meta-learning approaches and incorporate emerging remote sensing data sources such as hyperspectral and LiDAR. © 2025 by the authors.",Landsat satellite; stacking ensemble machine learning; wildfire management; wildfire severity mapping,Adaptive boosting; Contrastive Learning; Damage detection; Federated learning; Landsat; Nearest neighbor search; Photomapping; Premixed flames; Random forests; Support vector regression; Base learners; Landsat satellite; Machine learning models; Machine-learning; Predictive accuracy; Stacking ensemble machine learning; Stackings; Wildfire management; Wildfire severity; Wildfire severity mapping; Adversarial machine learning
Cheng S.; Jin Y.; Harrison S.P.; Quilodrán-Casas C.; Prentice I.C.; Guo Y.-K.; Arcucci R.,"Cheng, Sibo (57211860697); Jin, Yufang (7404457584); Harrison, Sandy P. (7402647751); Quilodrán-Casas, César (57222026266); Prentice, Iain Colin (7005712332); Guo, Yi-Ke (12765868000); Arcucci, Rossella (57202733264)",Parameter Flexible Wildfire Prediction Using Machine Learning Techniques: Forward And Inverse Modelling,2022,Remote Sensing,"Parameter identification for wildfire forecasting models often relies on case-by-case tuning or posterior diagnosis/analysis, which can be computationally expensive due to the complexity of the forward prediction model. In this paper, we introduce an efficient parameter flexible fire prediction algorithm based on machine learning and reduced order modelling techniques. Using a training dataset generated by physics-based fire simulations, the method forecasts burned area at different time steps with a low computational cost. We then address the bottleneck of efficient parameter estimation by developing a novel inverse approach relying on data assimilation techniques (latent assimilation) in the reduced order space. The forward and the inverse modellings are tested on two recent large wildfire events in California. Satellite observations are used to validate the forward prediction approach and identify the model parameters. By combining these forward and inverse approaches, the system manages to integrate real-time observations for parameter adjustment, leading to more accurate future predictions. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",convolutional autoencoder; data assimilation; latent assimilation; machine learning; parameter identification; reduced-order modelling; wildfire prediction,Data reduction; Fires; Inverse problems; Learning systems; Machine learning; Parameter estimation; Auto encoders; Convolutional autoencoder; Data assimilation; Forward prediction; Latent assimilation; Machine-learning; Parameters identification; Reduced order modelling; Reduced-order model; Wildfire prediction; Forecasting
Supriya Y.; Gadekallu T.R.,"Supriya, Y. (58151473300); Gadekallu, Thippa Reddy (57217062630)",Particle Swarm-based Federated Learning Approach For Early Detection Of Forest Fires,2023,Sustainability (Switzerland),"Forests are a vital part of the ecological system. Forest fires are a serious issue that may cause significant loss of life and infrastructure. Forest fires may occur due to human or man-made climate effects. Numerous artificial intelligence-based strategies such as machine learning (ML) and deep learning (DL) have helped researchers to predict forest fires. However, ML and DL strategies pose some challenges such as large multidimensional data, communication lags, transmission latency, lack of processing power, and privacy concerns. Federated Learning (FL) is a recent development in ML that enables the collection and process of multidimensional, large volumes of data efficiently, which has the potential to solve the aforementioned challenges. FL can also help in identifying the trends based on the geographical locations that can help the authorities to respond faster to forest fires. However, FL algorithms send and receive large amounts of weights of the client-side trained models, and also it induces significant communication overhead. To overcome this issue, in this paper, we propose a unified framework based on FL with a particle swarm-optimization algorithm (PSO) that enables the authorities to respond faster to forest fires. The proposed PSO-enabled FL framework is evaluated by using multidimensional forest fire image data from Kaggle. In comparison to the state-of-the-art federated average model, the proposed model performed better in situations of data imbalance, incurred lower communication costs, and thus proved to be more network efficient. The results of the proposed framework have been validated and 94.47% prediction accuracy has been recorded. These results obtained by the proposed framework can serve as a useful component in the development of early warning systems for forest fires. © 2023 by the authors. Licensee MDPI, Basel, Switzerland.",disaster management; Federated Averaging; Federated Learning; forest fires; Particle Swarm Optimization,algorithm; detection method; disaster management; early warning system; forest fire; geographical region; machine learning; natural disaster
"Fitzgerald, J; Seefried, E; Yost, J; Pallickara, S; Blanchard, N","Fitzgerald, Jack; Seefried, Ethan; Yost, James; Pallickara, Sangmi; Blanchard, Nathaniel",Paying Attention To Wildfire: Using U-net With Attention Blocks On Multimodal Data For Next Day Prediction,2023,"PROCEEDINGS OF THE 25TH INTERNATIONAL CONFERENCE ON MULTIMODAL INTERACTION, ICMI 2023","Predicting where wildfires will spread provides invaluable information to firefighters and scientists, which can save lives and homes. However, doing so requires a large amount of multimodal data e.g., accurate weather predictions, real-time satellite data, and environmental descriptors. In this work, we utilize 12 distinct features from multiple modalities in order to predict where wildfires will spread over the next 24 hours. We created a custom U-Net architecture designed to train as efficiently as possible, while still maximizing accuracy, to facilitate quickly deploying the model when a wildfire is detected. Our custom architecture demonstrates state-of-the-art performance and trains an order of magnitude more quickly than prior work, while using fewer computational resources. We further evaluated our architecture with an ablation study to identify which features were key for prediction and which provided negligible impact on performance. All of our source code is available on GitHub(1).",Wildfire Prediction; Multimodal; Deep Learning Architectures; Attention,FIRE SPREAD
"Pham, BT; Jaafari, A; Avand, M; Al-Ansari, N; Du, TD; Yen, HPH; Phong, TV; Nguyen, DH; Le, HV; Mafi-Gholami, D; Prakash, I; Thuy, HT; Tuyen, TT","Binh Thai Pham; Jaafari, Abolfazl; Avand, Mohammadtaghi; Al-Ansari, Nadhir; Tran Dinh Du; Hoang Phan Hai Yen; Tran Van Phong; Duy Huu Nguyen; Hiep Van Le; Mafi-Gholami, Davood; Prakash, Indra; Hoang Thi Thuy; Tran Thi Tuyen",Performance Evaluation Of Machine Learning Methods For Forest Fire Modeling And Prediction,2020,SYMMETRY-BASEL,"Predicting and mapping fire susceptibility is a top research priority in fire-prone forests worldwide. This study evaluates the abilities of the Bayes Network (BN), Naive Bayes (NB), Decision Tree (DT), and Multivariate Logistic Regression (MLP) machine learning methods for the prediction and mapping fire susceptibility across the Pu Mat National Park, Nghe An Province, Vietnam. The modeling methodology was formulated based on processing the information from the 57 historical fires and a set of nine spatially explicit explanatory variables, namely elevation, slope degree, aspect, average annual temperate, drought index, river density, land cover, and distance from roads and residential areas. Using the area under the receiver operating characteristic curve (AUC) and seven other performance metrics, the models were validated in terms of their abilities to elucidate the general fire behaviors in the Pu Mat National Park and to predict future fires. Despite a few differences between the AUC values, the BN model with an AUC value of 0.96 was dominant over the other models in predicting future fires. The second best was the DT model (AUC = 0.94), followed by the NB (AUC = 0.939), and MLR (AUC = 0.937) models. Our robust analysis demonstrated that these models are sufficiently robust in response to the training and validation datasets change. Further, the results revealed that moderate to high levels of fire susceptibilities are associated with similar to 19% of the Pu Mat National Park where human activities are numerous. This study and the resultant susceptibility maps provide a basis for developing more efficient fire-fighting strategies and reorganizing policies in favor of sustainable management of forest resources.",Bayes network; decision tree; multivariate logistic regression; Naive Bayes; spatial modeling,FUZZY INFERENCE SYSTEM; SPATIAL PREDICTION; NEURAL-NETWORK; OPTIMIZATION ALGORITHMS; WILDFIRE SUSCEPTIBILITY; ZAGROS MOUNTAINS; DECISION TREE; PATTERNS; RISK; PROBABILITY
"Pourmohamad, Y; Abatzoglou, JT; Belval, EJ; Fleishman, E; Short, K; Reeves, MC; Nauslar, N; Higuera, PE; Henderson, E; Ball, S; Aghakouchak, A; Prestemon, JP; Olszewski, J; Sadegh, M","Pourmohamad, Yavar; Abatzoglou, John T.; Belval, Erin J.; Fleishman, Erica; Short, Karen; Reeves, Matthew C.; Nauslar, Nicholas; Higuera, Philip E.; Henderson, Eric; Ball, Sawyer; Aghakouchak, Amir; Prestemon, Jeffrey P.; Olszewski, Julia; Sadegh, Mojtaba","Physical, Social, And Biological Attributes For Improved Understanding And Prediction Of Wildfires: Fpa Fod-attributes Dataset",2024,EARTH SYSTEM SCIENCE DATA,"Wildfires are increasingly impacting social and environmental systems in the United States (US). The ability to mitigate the adverse effects of wildfires increases with understanding of the social, physical, and biological conditions that co-occurred with or caused the wildfire ignitions and contributed to the wildfire impacts. To this end, we developed the FPA FOD-Attributes dataset, which augments the sixth version of the Fire Program Analysis Fire-Occurrence Database (FPA FOD v6) with nearly 270 attributes that coincide with the date and location of each wildfire ignition in the US. FPA FOD v6 contains information on location, jurisdiction, discovery time, cause, and final size of > 2.3 x 10(6) wildfires in the US between 1992 and 2020 . For each wildfire, we added physical (e.g., weather, climate, topography, and infrastructure), biological (e.g., land cover and normalized difference vegetation index), social (e.g., population density and social vulnerability index), and administrative (e.g., national and regional preparedness level and jurisdiction) attributes. This publicly available dataset can be used to answer numerous questions about the covariates associated with human- and lightning-caused wildfires. Furthermore, the FPA FOD-Attributes dataset can support descriptive, diagnostic, predictive, and prescriptive wildfire analytics, including the development of machine learning models. The FPA FOD-Attributes dataset is available at 10.5281/zenodo.8381129 (Pourmohamad et al., 2023).",,FIRE; FOREST; RESTORATION; SUPPRESSION; PREVENTION; VEGETATION; LANDS
Radford D.A.G.; Maier H.R.; van Delden H.; Zecchin A.C.; Jeanneau A.,"Radford, Douglas A.G. (57551835700); Maier, Holger R. (7202461054); van Delden, Hedwig (24778852500); Zecchin, Aaron C. (6506193289); Jeanneau, Amelie (57208236192)",Predicting Burn Probability: Dimensionality Reduction Strategies Enable Accurate And Computationally Efficient Metamodeling,2024,Journal of Environmental Management,"Predicting the probability that a given location will be burnt by a wildfire is an important part of understanding the risk that wildfires pose and how our management actions (e.g., prescribed burning) can reduce this risk. Existing methods to quantify this burn probability involve simulating the spread of many thousands of individual wildfires, making them highly computationally expensive. To reduce this expense, we propose strategies that enable the development of computationally efficient machine learning assisted metamodels for estimating burn probability, which are demonstrated for a case study in South Australia. Artificial neural networks are used as the metamodel to emulate the outputs of a landscape fire simulation model. Development of the metamodel is facilitated by reducing the input and output dimensionality of the simulation model by a factor of 10,000–1,000,000, while still being able to predict burn probabilities with high accuracy (approximately ± 7.4% error, on average) and only requiring 0.6% of the computational time compared with an approach using landscape fire simulation models. This opens the door to obtaining many thousands of spatially distributed estimates of burn probability, as is required when optimising fuel treatment strategies. © 2024 The Authors",Artificial neural network; Burn probability; Metamodeling; Simulation; Wildfire,"Fires; Machine Learning; Models, Theoretical; Neural Networks, Computer; Probability; Wildfires; Australia; South Australia; Digital elevation model; Dimensionality reduction; fuel; Burn probabilities; Computationally efficient; Dimensionality reduction; Fire simulation; Meta model; Metamodeling; Neural-networks; Simulation; Simulation model; Wildfire; artificial neural network; machine learning; probability; simulation; wildfire; Article; artificial neural network; calibration; case study; computational time; computer model; control strategy; correlation coefficient; data interpretation; dimensionality reduction; environmental risk; fire and fire related phenomena; intermethod comparison; landscape; mean absolute error; mean absolute percentage error; measurement accuracy; performance indicator; prediction; probability; risk reduction; root mean squared error; South Australia; spatial analysis; statistical error; time; validation study; wildfire; fire; machine learning; theoretical model; wildfire; Premixed flames"
Wells A.G.; Hawbaker T.J.; Hiers J.K.; Kean J.; Loehman R.A.; Steblein P.F.,"Wells, Adam G. (57339144500); Hawbaker, Todd J. (8895543100); Hiers, J. Kevin (6602129537); Kean, Jason (16202808400); Loehman, Rachel A. (7006662631); Steblein, Paul F. (15926357100)","Predicting Burn Severity For Integration With Post-fire Debris-flow Hazard Assessment: A Case Study From The Upper Colorado River Basin, Usa",2023,International Journal of Wildland Fire,"Background: Burn severity significantly increases the likelihood and volume of post-wildfire debris flows. Pre-fire severity predictions can expedite mitigation efforts because precipitation contributing to these hazards often occurs shortly after wildfires, leaving little time for post-fire planning and management. Aim: The aim of this study was to predict burn severity using pre-fire conditions of individual wildfire events and estimate potential post-fire debris flow to unburned areas. Methods: We used random forests to model dNBR from pre-fire weather, fuels, topography, and remotely sensed data. We validated our model predictions against post-fire observations and potential post-fire debris-flow hazard estimates. Key results: Fuels, pre-fire weather, and topography were important predictors of burn severity, although predictor importance varied between fires. Post-fire debris-flow hazard rankings from predicted burn severity (pre-fire) were similar to hazard assessments based on observed burn severity (post-fire). Conclusion: Predicted burn severity can serve as an input to post-fire debris-flow models before wildfires occur, antecedent to standard post-fire burn severity products. Assessing a larger set of fires under disparate conditions and landscapes will be needed to refine predictive models. Implications: Burn severity models based on pre-fire conditions enable the prediction of fire effects and identification of potential hazards to prioritise response and mitigation. © 2023 CSIRO. All rights reserved.",burn severity; Burned Area Reflectance Classification (BARC); debris flow; differenced Normalised Burn Ratio (dNBR); fuels; Landsat 8; machine learning; Monitoring Trends in Burn Severity (MTBS); pre-fire; Sentinel-2; Wildland fire,
"Castelli, M; Vanneschi, L; Popovic, A","Castelli, Mauro; Vanneschi, Leonardo; Popovic, Ales",Predicting Burned Areas Of Forest Fires: An Artificial Intelligence Approach,2015,FIRE ECOLOGY,"Forest fires importantly influence our environment and lives. The ability of accurately predicting the area that may be involved in a forest fire event may help in optimizing fire management efforts. Given the complexity of the task, powerful computational tools are needed for predicting the amount of area that will be burned during a forest fire. The purpose of this study was to develop an intelligent system based on genetic programming for the prediction of burned areas, using only data related to the forest under analysis and meteorological data. We used geometric semantic genetic programming based on recently defined geometric semantic genetic operators for genetic programming. Experimental results, achieved using a database of 517 forest fire events between 2000 and 2003, showed the appropriateness of the proposed system for the prediction of the burned areas. In particular, results obtained with geometric semantic genetic programming were significantly better than those produced by standard genetic programming and other state of the art machine learning methods on both training and out-of-sample data. This study suggests that deeper investigation of genetic programming in the field of forest fires prediction may be productive.",climatic data; forest fires; genetic programming; Portugal; semantics,
Zhang L.; Shi C.; Zhang F.,"Zhang, Long (57213179023); Shi, Changjiang (58512078500); Zhang, Fuquan (55788377000)",Predicting Forest Fire Area Growth Rate Using An Ensemble Algorithm,2024,Forests,"Due to its unique geographical and climatic conditions, the Liangshan Prefecture region is highly prone to large fires. There is an urgent need to study the growth rate of fire-burned areas to fill the research gap in this region. To address this issue, this study uses the Grey Wolf Optimizer (GWO) algorithm to optimize the hyperparameters in the eXtreme Gradient Boosting (XGBoost) model, constructing a GWO-XGBoost model. Finally, the optimized ensemble model (GWO-XGBoost) is used to create a fire growth rate warning map for the Liangshan Prefecture in Sichuan Province, China, filling the research gap in forest fire studies in this area. This study comprehensively selects factors such as monthly climate, monthly vegetation, terrain, and socio–economic aspects and incorporates monthly reanalysis data from forest fire assessment systems in Canada, the United States, and Australia as features to construct the forest fire dataset. After collinearity tests to filter redundant features and Pearson correlation analysis to explore features related to the burned area growth rate, the Synthetic Minority Oversampling Technique (SMOTE) is used to oversample the positive class samples. The GWO algorithm is used to optimize the hyperparameters in the XGBoost model, constructing the GWO-XGBoost model, which is then compared with XGBoost, Random Forest (RF), and Logistic Regression (LR) models. Model evaluation results showed that the GWO-XGBoost model, with an AUC value of 0.8927, is the best-performing model. Using the SHapley Additive exPlanations (SHAP) value analysis method to quantify the contribution of each influencing factor indicates that the Ignition Component (IC) value from the United States National Fire Danger Rating System contributes the most, followed by the average monthly temperature and the population density. The growth rate warning map results indicate that the southern part of the study area is the key fire prevention area. © 2024 by the authors.",fire growth rate; forest fire prediction; GWO-XGBoost; machine learning,Area; Deforestation; Fire Fighting; Forest Fires; Growth Rate; Maps; Research; Safety Equipment; United States; Australia; Canada; China; Liangshan; Sichuan; United States; Deforestation; Fire extinguishers; Fire hazards; Fireproofing; Population statistics; Area growths; Burned areas; Fire growth rates; Forest fire prediction; Forest fires; Gray wolf optimizer-xgboost; Gray wolves; Machine-learning; Optimizers; Research gaps; algorithm; climate conditions; fire management; forest fire; machine learning; population density; prediction; Premixed flames
Eker R.; Aydın A.,"Eker, Remzi (55303091800); Aydın, Abdurrahim (36460530900)",Predicting Potential Fire Severity In Türkiye’s Diverse Forested Areas: A Shap-integrated Random Forest Classification Approach,2024,Stochastic Environmental Research and Risk Assessment,"This study introduces a methodology that integrates SHAP (SHapley Additive exPlanations) analysis with Random Forest (RF) classification to enhance the prediction accuracy of fire severity across diverse forested regions in Türkiye. Leveraging a comprehensive forest fire database spanning from 2018 to 2022 and utilizing the Google Earth Engine (GEE) platform, 436 fire events ranging from 9 to 53,764.1 hectares were automatically detected and mapped using the difference Normalized Burn Ratio (dNBR). Subsequently, a robust fire severity model was developed by incorporating 19 variables, including biophysical, topographic, climatic, and vegetation-related factors. The RF classification achieved noteworthy performance metrics, with an overall accuracy of 0.75, a Kappa value of 0.61, and a macro-average AUC value of 0.88. Furthermore, the integration of SHAP analysis provided insightful contributions to the RF classification model, elucidating the impacts of individual input features. Notably, variables such as NDMI (Normalized Difference Moisture Index), LAI (Leaf Area Index), and LWVI (Land Water Vegetation Index) emerged as significant influencers, followed by WSPD (Wind Speed) and LST (Land Surface Temperature). Additionally, an analysis of fire severity distribution across fuel types (FMT) revealed intricate patterns, underscoring the complex relationships between vegetation composition and fire behavior. The findings of this study have implications for forest management and wildfire risk assessment, offering valuable insights for decision-making processes. Furthermore, the integration of SHAP analysis with RF classification enhances the interpretability and transparency of machine learning-based fire severity prediction models, contributing to the advancement of fire management strategies. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.",Fire severity; Forest fire; Google Earth Engine; Random forest classification; SHAP,Turkey; Antiknock compounds; Atmospheric temperature; Decision making; Deforestation; Fire hazards; Forest ecology; Premixed flames; Risk management; Tropics; Classification approach; Fire severity; Forest fires; Forested area; Google earth engine; Google earths; Prediction accuracy; Random forest classification; Shapley; Shapley additive explanation; accuracy assessment; fire history; forest dynamics; forest management; integrated approach; leaf area index; prediction; Risk assessment
Kopitsa C.; Tsoulos I.G.; Charilogis V.; Stavrakoudis A.,"Kopitsa, Constantina (59425812300); Tsoulos, Ioannis G. (10042633500); Charilogis, Vasileios (57316432900); Stavrakoudis, Athanassios (56004623800)",Predicting The Duration Of Forest Fires Using Machine Learning Methods,2024,Future Internet,"For thousands of years forest fires played the role of a regulator in the ecosystem. Forest fires contributed to the ecological balance by destroying old and diseased plant material; but in the modern era fires are a major problem that tests the endurance not only of government agencies around the world, but also have an effect on climate change. Forest fires have become more intense, more destructive, and more deadly; these are known as megafires. They can cause major economic and ecological problems, especially in the summer months (dry season). However, humanity has developed a tool that can predict fire events, to detect them in time, but also to predict their duration. This tool is artificial intelligence, specifically, machine learning, which is one part of AI. Consequently, this paper briefly mentions several methods of machine learning as used in predicting forest fires and in early detection, submitting an overall review of current models. Our main overall objective is to venture into a new field: predicting the duration of ongoing forest fires. Our contribution offers a new way to manage forest fires, using accessible open data, available from the Hellenic Fire Service. In particular, we imported over 72,000 data from a 10-year period (2014–2023) using machine learning techniques. The experimental and validation results are more than encouraging, with Random Forest achieving the lowest value for the error range (8–13%), meaning it was 87–92% accurate on the prediction of forest fire duration. Finally, some future directions in which to extend this research are presented. © 2024 by the authors.",decision trees; forest fires; machine learning; neural networks,Adversarial machine learning; Climate change; Fire hazards; Premixed flames; Random forests; Ecological balance; Ecological problem; Economic problems; Forest fires; Government agencies; Machine learning methods; Machine-learning; Neural-networks; Plant material; Summer months; Forest ecology
